DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF425,HDA01 - 150W,5C-CF-7F-0A-F4-25,L376,-24.245185,-50.747810,Klabin,HDA-150
0006E5B9,HDA01 - 150W,5C-CF-7F-06-E5-B9,L457,-24.245190,-50.747810,Klabin,HDA-150
000AF687,HDA01 - 150W,5C-CF-7F-0A-F6-87,L394,-24.245195,-50.747810,Klabin,HDA-150
0006E60C,HDA01 - 150W,5C-CF-7F-06-E6-0C,L365,-24.245200,-50.747810,Klabin,HDA-150
0006E78B,HDA01 - 150W,5C-CF-7F-06-E7-8B,L316,-24.245205,-50.747810,Klabin,HDA-150
0006E66F,HDA01 - 150W,5C-CF-7F-06-E6-6F,L239,-24.244970,-50.747810,Klabin,HDA-150
000AF4B3,HDA01 - 150W,5C-CF-7F-0A-F4-B3,L322,-24.244975,-50.747810,Klabin,HDA-150
0006E36E,HDA01 - 150W,5C-CF-7F-06-E3-6E,L307,-24.244980,-50.747810,Klabin,HDA-150
0006E4BB,HDA01 - 150W,5C-CF-7F-06-E4-BB,L293,-24.244985,-50.747815,Klabin,HDA-150
000AF693,HDA01 - 150W,5C-CF-7F-0A-F6-93,L281,-24.244990,-50.747815,Klabin,HDA-150
000AF6B6,HDA01 - 150W,5C-CF-7F-0A-F6-B6,L314,-24.244995,-50.747815,Klabin,HDA-150
0006E52F,HDA01 - 150W,5C-CF-7F-06-E5-2F,L288,-24.245000,-50.747815,Klabin,HDA-150
0006E367,HDA01 - 150W,5C-CF-7F-06-E3-67,L403,-24.245005,-50.747815,Klabin,HDA-150
000AF5AC,HDA01 - 150W,5C-CF-7F-0A-F5-AC,L434,-24.245010,-50.747815,Klabin,HDA-150
000AF491,HDA01 - 150W,5C-CF-7F-0A-F4-91,L265,-24.245015,-50.747815,Klabin,HDA-150
000AF66C,HDA01 - 150W,5C-CF-7F-0A-F6-6C,L443,-24.245020,-50.747815,Klabin,HDA-150
000AF488,HDA01 - 150W,5C-CF-7F-0A-F4-88,L361,-24.245025,-50.747815,Klabin,HDA-150
000AF6A1,HDA01 - 150W,5C-CF-7F-0A-F6-A1,L480,-24.245030,-50.747815,Klabin,HDA-150
0006E5F1,HDA01 - 150W,5C-CF-7F-06-E5-F1,L280,-24.245035,-50.747820,Klabin,HDA-150
0006E55A,HDA01 - 150W,5C-CF-7F-06-E5-5A,L256,-24.245040,-50.747820,Klabin,HDA-150
000AF67E,HDA01 - 150W,5C-CF-7F-0A-F6-7E,L371,-24.245045,-50.747820,Klabin,HDA-150
000AF6C6,HDA01 - 150W,5C-CF-7F-0A-F6-C6,L244,-24.245050,-50.747820,Klabin,HDA-150
0006E47D,HDA01 - 150W,5C-CF-7F-06-E4-7D,L392,-24.245055,-50.747820,Klabin,HDA-150
0006E5E1,HDA01 - 150W,5C-CF-7F-06-E5-E1,L477,-24.245060,-50.747820,Klabin,HDA-150
0006E4FA,HDA01 - 150W,5C-CF-7F-06-E4-FA,L231,-24.245065,-50.747820,Klabin,HDA-150
0006E584,HDA01 - 150W,5C-CF-7F-06-E5-84,L439,-24.245070,-50.747820,Klabin,HDA-150
0006E728,HDA01 - 150W,5C-CF-7F-06-E7-28,L458,-24.245075,-50.747820,Klabin,HDA-150
0006E786,HDA01 - 150W,5C-CF-7F-06-E7-86,L460,-24.245080,-50.747820,Klabin,HDA-150
0006E61F,HDA01 - 150W,5C-CF-7F-06-E6-1F,L305,-24.245085,-50.747825,Klabin,HDA-150
0006E6F5,HDA01 - 150W,5C-CF-7F-06-E6-F5,L251,-24.245090,-50.747825,Klabin,HDA-150
000AF4F1,HDA01 - 150W,5C-CF-7F-0A-F4-F1,L230,-24.245095,-50.747825,Klabin,HDA-150
